fixture_id,teams_home_id,teams_home_name,teams_home_winner,teams_away_id,teams_away_name,teams_away_winner,goals_home,goals_away
867946,52,Crystal Palace,False,42,Arsenal,True,0,2
867947,36,Fulham,,40,Liverpool,,2,2
867948,35,Bournemouth,True,66,Aston Villa,False,2,0
867949,63,Leeds,True,39,Wolves,False,2,1
867950,46,Leicester,,55,Brentford,,2,2
867951,34,Newcastle,True,65,Nottingham Forest,False,2,0
867952,47,Tottenham,True,41,Southampton,False,4,1
867953,45,Everton,False,49,Chelsea,True,0,1
867954,33,Manchester United,False,51,Brighton,True,1,2
867955,48,West Ham,False,50,Manchester City,True,0,2
867956,42,Arsenal,True,46,Leicester,False,4,2
867957,66,Aston Villa,True,45,Everton,False,2,1
867958,55,Brentford,True,33,Manchester United,False,4,0
867959,51,Brighton,,34,Newcastle,,0,0
867960,49,Chelsea,,47,Tottenham,,2,2
867961,40,Liverpool,,52,Crystal Palace,,1,1
867962,50,Manchester City,True,35,Bournemouth,False,4,0
867963,65,Nottingham Forest,True,48,West Ham,False,1,0
867964,41,Southampton,,63,Leeds,,2,2
867965,39,Wolves,,36,Fulham,,0,0
867966,35,Bournemouth,False,42,Arsenal,True,0,3
867967,52,Crystal Palace,True,66,Aston Villa,False,3,1
867968,45,Everton,,65,Nottingham Forest,,1,1
867969,36,Fulham,True,55,Brentford,False,3,2
867970,63,Leeds,True,49,Chelsea,False,3,0
867971,46,Leicester,False,41,Southampton,True,1,2
867972,33,Manchester United,True,40,Liverpool,False,2,1
867973,34,Newcastle,,50,Manchester City,,3,3
867974,47,Tottenham,True,39,Wolves,False,1,0
867975,48,West Ham,False,51,Brighton,True,0,2
867976,42,Arsenal,True,36,Fulham,False,2,1
867977,66,Aston Villa,False,48,West Ham,True,0,1
867978,55,Brentford,,45,Everton,,1,1
867979,51,Brighton,True,63,Leeds,False,1,0
867980,49,Chelsea,True,46,Leicester,False,2,1
867981,40,Liverpool,True,35,Bournemouth,False,9,0
867982,50,Manchester City,True,52,Crystal Palace,False,4,2
867983,65,Nottingham Forest,False,47,Tottenham,True,0,2
867984,41,Southampton,False,33,Manchester United,True,0,1
867985,39,Wolves,,34,Newcastle,,1,1
867986,35,Bournemouth,,39,Wolves,,0,0
867987,42,Arsenal,True,66,Aston Villa,False,2,1
867988,36,Fulham,True,51,Brighton,False,2,1
867989,63,Leeds,,45,Everton,,1,1
867990,46,Leicester,False,33,Manchester United,True,0,1
867991,48,West Ham,,47,Tottenham,,1,1
867992,52,Crystal Palace,,55,Brentford,,1,1
867993,41,Southampton,True,49,Chelsea,False,2,1
867994,40,Liverpool,True,34,Newcastle,False,2,1
867995,50,Manchester City,True,65,Nottingham Forest,False,6,0
867996,66,Aston Villa,,50,Manchester City,,1,1
867997,55,Brentford,True,63,Leeds,False,5,2
867998,51,Brighton,True,46,Leicester,False,5,2
867999,49,Chelsea,True,48,West Ham,False,2,1
868000,45,Everton,,40,Liverpool,,0,0
868001,33,Manchester United,True,42,Arsenal,False,3,1
868002,34,Newcastle,,52,Crystal Palace,,0,0
868003,65,Nottingham Forest,False,35,Bournemouth,True,2,3
868004,47,Tottenham,True,36,Fulham,False,2,1
868005,39,Wolves,True,41,Southampton,False,1,0
868006,35,Bournemouth,False,51,Brighton,True,0,2
868007,42,Arsenal,True,45,Everton,False,4,0
868008,52,Crystal Palace,,33,Manchester United,,1,1
868009,36,Fulham,True,49,Chelsea,False,2,1
868010,63,Leeds,True,65,Nottingham Forest,False,2,1
868011,46,Leicester,False,66,Aston Villa,True,1,2
868012,40,Liverpool,True,39,Wolves,False,2,0
868013,50,Manchester City,True,47,Tottenham,False,4,2
868014,41,Southampton,False,55,Brentford,True,0,2
868015,48,West Ham,False,34,Newcastle,True,1,5
868016,66,Aston Villa,True,41,Southampton,False,1,0
868017,55,Brentford,False,42,Arsenal,True,0,3
868018,51,Brighton,True,52,Crystal Palace,False,1,0
868019,49,Chelsea,,40,Liverpool,,0,0
868020,45,Everton,True,48,West Ham,False,1,0
868021,33,Manchester United,,63,Leeds,,2,2
868022,34,Newcastle,,35,Bournemouth,,1,1
868023,65,Nottingham Forest,False,36,Fulham,True,2,3
868024,47,Tottenham,True,46,Leicester,False,6,2
868025,39,Wolves,False,50,Manchester City,True,0,3
868026,35,Bournemouth,,55,Brentford,,0,0
868027,42,Arsenal,True,47,Tottenham,False,3,1
868028,52,Crystal Palace,False,49,Chelsea,True,1,2
868029,36,Fulham,False,34,Newcastle,True,1,4
868030,63,Leeds,,66,Aston Villa,,0,0
868031,46,Leicester,True,65,Nottingham Forest,False,4,0
868032,40,Liverpool,,51,Brighton,,3,3
868033,50,Manchester City,True,33,Manchester United,False,6,3
868034,41,Southampton,False,45,Everton,True,1,2
868035,48,West Ham,True,39,Wolves,False,2,0
868036,35,Bournemouth,True,46,Leicester,False,2,1
868037,42,Arsenal,True,40,Liverpool,False,3,2
868038,51,Brighton,False,47,Tottenham,True,0,1
868039,49,Chelsea,True,39,Wolves,False,3,0
868040,52,Crystal Palace,True,63,Leeds,False,2,1
868041,45,Everton,False,33,Manchester United,True,1,2
868042,50,Manchester City,True,41,Southampton,False,4,0
868043,34,Newcastle,True,55,Brentford,False,5,1
868044,65,Nottingham Forest,,66,Aston Villa,,1,1
868045,48,West Ham,True,36,Fulham,False,3,1
868046,66,Aston Villa,False,49,Chelsea,True,0,2
868047,55,Brentford,True,51,Brighton,False,2,0
868048,36,Fulham,,35,Bournemouth,,2,2
868049,63,Leeds,False,42,Arsenal,True,0,1
868050,46,Leicester,,52,Crystal Palace,,0,0
868051,40,Liverpool,True,50,Manchester City,False,1,0
868052,33,Manchester United,,34,Newcastle,,0,0
868053,41,Southampton,,48,West Ham,,1,1
868054,47,Tottenham,True,45,Everton,False,2,0
868055,39,Wolves,True,65,Nottingham Forest,False,1,0
868056,35,Bournemouth,False,41,Southampton,True,0,1
868057,42,Arsenal,False,50,Manchester City,True,1,3
868058,55,Brentford,,49,Chelsea,,0,0
868059,51,Brighton,,65,Nottingham Forest,,0,0
868060,36,Fulham,True,66,Aston Villa,False,3,0
868061,46,Leicester,True,63,Leeds,False,2,0
868062,52,Crystal Palace,True,39,Wolves,False,2,1
868063,34,Newcastle,True,45,Everton,False,1,0
868064,40,Liverpool,True,48,West Ham,False,1,0
868065,33,Manchester United,True,47,Tottenham,False,2,0
868066,66,Aston Villa,True,55,Brentford,False,4,0
868067,49,Chelsea,,33,Manchester United,,1,1
868068,45,Everton,True,52,Crystal Palace,False,3,0
868069,63,Leeds,False,36,Fulham,True,2,3
868070,50,Manchester City,True,51,Brighton,False,3,1
868071,65,Nottingham Forest,True,40,Liverpool,False,1,0
868072,41,Southampton,,42,Arsenal,,1,1
868073,47,Tottenham,False,34,Newcastle,True,1,2
868074,48,West Ham,True,35,Bournemouth,False,2,0
868075,39,Wolves,False,46,Leicester,True,0,4
868076,35,Bournemouth,False,47,Tottenham,True,2,3
868077,42,Arsenal,True,65,Nottingham Forest,False,5,0
868078,55,Brentford,,39,Wolves,,1,1
868079,51,Brighton,True,49,Chelsea,False,4,1
868080,52,Crystal Palace,True,41,Southampton,False,1,0
868081,36,Fulham,,45,Everton,,0,0
868082,46,Leicester,False,50,Manchester City,True,0,1
868083,40,Liverpool,False,63,Leeds,True,1,2
868084,33,Manchester United,True,48,West Ham,False,1,0
868085,34,Newcastle,True,66,Aston Villa,False,4,0
868086,66,Aston Villa,True,33,Manchester United,False,3,1
868087,49,Chelsea,False,42,Arsenal,True,0,1
868088,45,Everton,False,46,Leicester,True,0,2
868089,63,Leeds,True,35,Bournemouth,False,4,3
868090,50,Manchester City,True,36,Fulham,False,2,1
868091,65,Nottingham Forest,,55,Brentford,,2,2
868092,41,Southampton,False,34,Newcastle,True,1,4
868093,47,Tottenham,False,40,Liverpool,True,1,2
868094,48,West Ham,False,52,Crystal Palace,True,1,2
868095,39,Wolves,False,51,Brighton,True,2,3
868096,35,Bournemouth,True,45,Everton,False,3,0
868097,51,Brighton,False,66,Aston Villa,True,1,2
868098,36,Fulham,False,33,Manchester United,True,1,2
868099,40,Liverpool,True,41,Southampton,False,3,1
868100,50,Manchester City,False,55,Brentford,True,1,2
868101,34,Newcastle,True,49,Chelsea,False,1,0
868102,65,Nottingham Forest,True,52,Crystal Palace,False,1,0
868103,47,Tottenham,True,63,Leeds,False,4,3
868104,48,West Ham,False,46,Leicester,True,0,2
868105,39,Wolves,False,42,Arsenal,True,0,2
868106,42,Arsenal,True,48,West Ham,False,3,1
868107,66,Aston Villa,False,40,Liverpool,True,1,3
868108,55,Brentford,,47,Tottenham,,2,2
868109,49,Chelsea,True,35,Bournemouth,False,2,0
868110,52,Crystal Palace,False,36,Fulham,True,0,3
868111,45,Everton,False,39,Wolves,True,1,2
868112,63,Leeds,False,50,Manchester City,True,1,3
868113,46,Leicester,False,34,Newcastle,True,0,3
868114,33,Manchester United,True,65,Nottingham Forest,False,3,0
868115,41,Southampton,False,51,Brighton,True,1,3
868116,35,Bournemouth,False,52,Crystal Palace,True,0,2
868117,51,Brighton,False,42,Arsenal,True,2,4
868118,36,Fulham,True,41,Southampton,False,2,1
868119,40,Liverpool,True,46,Leicester,False,2,1
868120,50,Manchester City,,45,Everton,,1,1
868121,34,Newcastle,,63,Leeds,,0,0
868122,65,Nottingham Forest,,49,Chelsea,,1,1
868123,47,Tottenham,False,66,Aston Villa,True,0,2
868124,48,West Ham,False,55,Brentford,True,0,2
868125,39,Wolves,False,33,Manchester United,True,0,1
868126,42,Arsenal,,34,Newcastle,,0,0
868127,66,Aston Villa,,39,Wolves,,1,1
868128,55,Brentford,True,40,Liverpool,False,3,1
868129,49,Chelsea,False,50,Manchester City,True,0,1
868130,52,Crystal Palace,False,47,Tottenham,True,0,4
868131,45,Everton,False,51,Brighton,True,1,4
868132,63,Leeds,,48,West Ham,,2,2
868133,46,Leicester,False,36,Fulham,True,0,1
868134,33,Manchester United,True,35,Bournemouth,False,3,0
868135,41,Southampton,False,65,Nottingham Forest,True,0,1
868136,66,Aston Villa,True,63,Leeds,False,2,1
868137,55,Brentford,True,35,Bournemouth,False,2,0
868138,51,Brighton,True,40,Liverpool,False,3,0
868139,49,Chelsea,True,52,Crystal Palace,False,1,0
868140,45,Everton,False,41,Southampton,True,1,2
868141,33,Manchester United,True,50,Manchester City,False,2,1
868142,34,Newcastle,True,36,Fulham,False,1,0
868143,65,Nottingham Forest,True,46,Leicester,False,2,0
868144,47,Tottenham,False,42,Arsenal,True,0,2
868145,39,Wolves,True,48,West Ham,False,1,0
868146,35,Bournemouth,,65,Nottingham Forest,,1,1
868147,42,Arsenal,True,33,Manchester United,False,3,2
868148,52,Crystal Palace,,34,Newcastle,,0,0
