Year,Brand,Funny,Shows_Product_Quickly,Patriotic,Celebrity,Danger,Animals,Uses_Sex,Length,Estimated_Cost,YT_Views,YT_Likes,TV_Viewers
2000,E-Trade,1,1,0,0,0,1,0,30,2.10,13615,84,88.47
2000,E-Trade,1,1,0,0,1,0,0,30,2.10,72772,146,88.47
2000,Budweiser,1,1,0,0,0,0,0,30,2.10,5399,11,88.47
2000,Bud Light,1,1,0,0,1,0,0,30,2.10,6699,8,88.47
2000,Budweiser,1,0,0,0,0,1,0,30,2.10,18972,6,88.47
2000,Bud Light,1,0,0,0,1,1,1,30,2.10,146,3,88.47
2000,Budweiser,1,1,0,0,0,0,0,60,4.20,4047977,31000,88.47
2000,Budweiser,1,0,0,0,1,1,0,60,4.20,112246,163,88.47
2001,Bud Light,1,1,0,0,0,1,0,30,2.10,3613,10,84.34
2001,Budweiser,1,1,0,0,0,0,0,30,2.10,58606,212,84.34
2001,Bud Light,1,0,0,0,1,0,1,30,2.10,73526,353,84.34
2001,Pepsi,1,0,0,0,0,0,1,30,2.10,1202,5,84.34
2001,E-Trade,0,0,0,0,1,1,0,30,2.10,105126,191,84.34
2001,Pepsi,1,1,0,0,0,0,1,30,2.10,65284,110,84.34
2001,Bud Light,1,0,0,1,0,0,1,30,2.10,1047,3,84.34
2001,Doritos,1,1,0,1,0,0,1,30,2.10,4183,15,84.34
2001,NFL,0,0,0,1,0,0,0,60,4.20,0,0,84.34
2001,Pepsi,1,0,1,1,0,1,1,45,3.15,12595,13,84.34
2001,Pepsi,1,0,0,1,1,0,0,60,4.20,1632,15,84.34
2001,E-Trade,1,0,0,0,1,0,0,30,2.10,6602,12,84.34
2001,Budweiser,0,0,0,1,0,0,0,30,2.10,78098,350,84.34
2002,Budweiser,0,1,1,0,0,1,0,60,4.20,147441,845,86.80
2002,Budweiser,1,1,0,0,0,0,0,30,2.10,49992,329,86.80
2002,Budweiser,1,0,0,0,0,0,0,30,2.10,14401,54,86.80
2002,Bud Light,1,1,0,0,1,1,1,30,2.10,3991,17,86.80
2002,Bud Light,1,0,0,0,1,0,0,30,2.10,64696,189,86.80
2002,Bud Light,1,0,0,0,1,0,1,30,2.10,84183,342,86.80
2002,Budweiser,1,1,0,0,0,0,1,30,2.10,0,0,86.80
2002,E-Trade,1,1,0,0,0,1,1,30,2.10,1753,9,86.80
2002,Pepsi,0,1,0,1,0,0,1,90,6.30,481645,7400,86.80
2002,Bud Light,1,1,0,1,1,0,1,30,2.10,5312,24,86.80
2003,Bud Light,1,1,0,0,1,1,1,30,2.10,13838,20,88.64
2003,Bud Light,1,1,0,0,1,0,0,30,2.10,8062,55,88.64
2003,Bud Light,1,1,0,0,0,0,1,30,2.10,148322,57,88.64
2003,Bud Light,1,1,0,0,0,0,1,30,2.10,0,0,88.64
2003,Budweiser,1,1,0,0,0,0,0,30,2.10,27782,18,88.64
2003,Bud Light,1,1,0,0,0,0,0,30,2.10,179645,237,88.64
2003,Bud Light,1,1,0,0,0,0,0,30,2.10,179999,300,88.64
2003,Budweiser,1,1,0,0,0,1,0,30,2.10,2948,10,88.64
2003,Bud Light,1,1,0,0,0,1,0,30,2.10,17456,70,88.64
2003,Budweiser,1,0,0,0,0,0,1,30,2.10,21838,10,88.64
2003,Pepsi,1,1,0,1,0,0,0,45,3.15,41312,0,88.64
2003,NFL,0,0,0,1,0,0,0,60,4.20,18780,43,88.64
2004,Bud Light,1,1,0,0,0,1,1,30,2.10,4068,127,89.80
2004,Pepsi,1,0,0,0,0,1,0,45,3.15,181362,313,89.80
2004,Budweiser,1,0,0,0,0,0,0,30,2.10,341959,912,89.80
2004,Budweiser,0,1,1,0,0,1,0,60,4.20,1953836,3700,89.80
2004,Toyota,1,1,0,0,1,0,0,30,2.10,125064,871,89.80
2004,Bud Light,1,0,0,0,1,1,1,30,2.10,88612,118,89.80
2004,Pepsi,1,1,0,0,0,0,0,30,2.10,62845,294,89.80
2004,Bud Light,1,1,0,0,1,0,0,30,2.10,618,8,89.80
2004,Bud Light,1,1,0,0,1,1,0,30,2.10,7557,41,89.80
2004,Bud Light,1,1,0,1,0,0,1,30,2.10,41044,43,89.80
2004,Budweiser,1,0,0,1,0,1,1,30,2.10,102403,448,89.80
2005,Bud Light,1,1,0,0,1,1,1,30,2.40,9065,30,86.07
2005,Pepsi,1,1,0,0,0,0,0,45,3.60,219,1,86.07
2005,Bud Light,1,0,0,0,0,0,0,30,2.40,0,0,86.07
2005,Budweiser,1,0,0,0,0,1,0,30,2.40,0,0,86.07
2005,Bud Light,1,1,0,0,0,0,1,30,2.40,0,0,86.07
2005,Pepsi,1,1,0,1,0,0,1,90,7.20,44172,97,86.07
2005,Bud Light,1,1,0,1,0,1,1,30,2.40,3515,7,86.07
2005,Pepsi,1,0,0,1,0,0,1,30,2.40,433,3,86.07
2006,Bud Light,1,0,0,0,1,1,0,30,2.40,142518,129,90.75
2006,Budweiser,1,1,0,0,0,0,0,30,2.40,85545,81,90.75
2006,Bud Light,1,1,0,0,0,0,0,30,2.40,103580,380,90.75
2006,Budweiser,1,1,0,0,1,0,0,30,2.40,120496,168,90.75
2006,Pepsi,1,1,0,1,1,0,0,30,2.40,69745,74,90.75
2006,Pepsi,1,1,0,1,0,0,1,60,4.80,6715,47,90.75
2006,Budweiser,1,0,0,0,0,1,1,30,2.40,772365,2300,90.75
2007,Budweiser,1,1,0,0,0,1,1,30,2.40,185072,134,93.18
2007,Bud Light,1,1,0,0,1,0,0,30,2.40,74585,93,93.18
2007,E-Trade,1,0,1,0,0,0,0,30,2.40,97481,98,93.18
2007,Doritos,1,1,0,0,1,0,1,30,2.40,1685673,2500,93.18
2007,Bud Light,1,1,0,0,1,0,0,30,2.40,180328,420,93.18
2007,Coca-Cola,0,1,1,0,1,1,0,60,4.80,249361,455,93.18
2007,Bud Light,1,1,0,0,1,0,0,30,2.40,221417,336,93.18
2007,Coca-Cola,0,1,0,0,0,1,0,60,4.80,11780,30,93.18
2007,Budweiser,0,0,0,0,1,1,0,60,4.80,84506,50,93.18
2007,Bud Light,1,1,0,1,0,0,0,30,2.40,956887,1300,93.18
2007,Budweiser,0,0,0,1,0,0,0,60,4.80,216,0,93.18
2007,Toyota,0,1,0,0,0,0,0,30,2.40,286153,221,93.18
2007,Bud Light,1,1,0,0,0,1,0,30,2.40,172,0,93.18
2007,Doritos,1,1,0,0,0,0,1,30,2.40,294111,255,93.18
2008,Budweiser,0,1,1,0,0,1,0,60,4.80,112949,321,97.45
2008,Hyundai,0,1,0,0,0,0,0,30,2.40,8762,13,97.45
2008,Bud Light,1,1,0,0,0,0,0,30,2.40,599218,761,97.45
2008,Bud Light,1,0,0,0,0,0,0,30,2.40,556463,415,97.45
2008,Bud Light,1,1,0,0,1,1,0,30,2.40,24651,26,97.45
2008,Bud Light,1,1,0,0,0,0,1,30,2.40,166673,163,97.45
2008,Doritos,1,1,0,0,1,0,0,30,2.40,241271,1100,97.45
2008,Coca-Cola,1,1,1,1,0,0,0,60,4.80,14359,38,97.45
2008,Pepsi,1,0,0,1,1,0,1,60,4.80,238819,616,97.45
2008,Bud Light,1,1,1,1,0,0,1,30,2.40,731589,595,97.45
2008,Bud Light,1,1,0,1,0,0,1,30,2.40,1060862,1300,97.45
2008,Coca-Cola,1,1,0,1,1,1,0,60,4.80,70272,256,97.45
2008,Bud Light,1,1,0,0,0,0,0,30,2.40,9367,12,97.45
2009,Pepsi,1,0,0,0,1,0,0,30,2.40,130861,365,98.73
2009,Budweiser,0,1,1,0,0,1,0,60,4.80,307483,538,98.73
2009,Budweiser,1,1,1,0,0,1,0,30,2.40,49777,69,98.73
2009,Hyundai,1,1,0,0,0,0,0,30,2.40,373823,588,98.73
2009,Doritos,1,1,0,0,0,0,0,30,2.40,43262,112,98.73
2009,Coca-Cola,0,1,0,0,0,1,0,60,4.80,525946,1700,98.73
2009,Bud Light,1,1,0,0,1,0,0,30,2.40,55433,185,98.73
2009,Coca-Cola,1,0,0,0,0,1,0,60,4.80,1455950,3500,98.73
2009,Bud Light,1,1,0,0,1,0,1,30,2.40,30257,34,98.73
2009,Doritos,1,1,0,0,1,1,1,30,2.40,646856,1900,98.73
2009,Coca-Cola,1,1,0,1,1,0,0,60,4.80,46228,102,98.73
2009,Pepsi,0,0,1,1,1,0,0,60,4.80,1420,8,98.73
2009,Doritos,1,1,0,0,1,0,0,30,2.40,22353,56,98.73
2009,E-Trade,1,1,0,0,0,0,0,30,2.40,367349,841,98.73
2009,Hyundai,0,1,0,0,0,0,0,30,2.40,7528,7,98.73
2010,Hyundai,0,1,1,0,0,0,0,30,2.95,68652,48,106.48
2010,Bud Light,1,0,0,0,1,0,1,30,2.95,3851,10,106.48
2010,Bud Light,1,0,0,0,0,0,0,45,4.42,86083,125,106.48
2010,E-Trade,1,1,0,0,0,0,0,15,1.47,14997,20,106.48
2010,Doritos,1,1,0,0,1,0,0,30,2.95,227092,1200,106.48
2010,Doritos,1,1,0,0,0,0,0,30,2.95,11654,23,106.48
2010,NFL,0,0,1,0,0,0,0,60,5.90,93263,435,106.48
